,Univ,State,cluster,SAT,Top10,Accept,SFRatio,Expenses,GradRate
0,Brown,RI,0,1310.0,89,22,13.0,22704,94.0
1,CalTech,CA,0,1415.0,100,25,6.5,63575,81.0
2,CMU,PA,0,1260.0,62,59,9.0,25026,72.0
3,Columbia,NY,0,1310.0,76,24,12.0,31510,94.0
4,Cornell,NY,0,1280.0,83,33,13.0,21864,90.0
5,Dartmouth,NH,0,1340.0,89,23,10.0,32162,95.0
6,Duke,NC,0,1315.0,90,30,12.0,31585,95.0
7,Georgetown,DC,0,1266.9166666666667,74,24,12.0,20126,92.0
8,Harvard,MA,0,1400.0,91,14,11.0,39525,97.0
9,JohnsHopkins,MD,0,1305.0,75,44,7.0,58691,87.0
10,MIT,MA,0,1380.0,94,30,10.0,34870,91.0
11,Northwestern,IL,0,1260.0,85,39,11.0,28052,89.0
12,NotreDame,IN,0,1255.0,81,42,13.0,15122,94.0
13,PennState,PA,1,1090.0,50,54,18.0,10185,80.0
14,Princeton,NJ,0,1375.0,91,14,8.0,30220,95.0
15,Purdue,IN,1,1090.0,50,89,18.5,9066,69.0
16,Stanford,CA,0,1360.0,90,20,12.0,36450,93.0
17,TexasA&M,TX,1,1090.0,50,67,18.5,8704,67.0
18,UCBerkeley,CA,0,1240.0,95,40,17.0,15140,78.0
19,UChicago,IL,0,1290.0,75,50,12.0,38380,87.0
20,UMichigan,MI,1,1180.0,65,68,16.0,15470,85.0
21,UPenn,PA,0,1285.0,80,36,11.0,27553,90.0
22,UVA,VA,0,1225.0,77,44,14.0,13349,92.0
23,UWisconsin,WI,1,1090.0,50,69,15.0,11857,71.0
24,Yale,CT,0,1375.0,95,19,11.0,43514,96.0
